singular,plural,merged
wzw model,wzw models,wzw model(s)
triplet loss function,triplet loss functions,triplet loss function(s)
light cone sum rule,light cone sum rules,light cone sum rule(s)
protostellar system,protostellar systems,protostellar system(s)
primary driver,primary drivers,primary driver(s)
linguistic variation,linguistic variations,linguistic variation(s)
antenna configuration,antenna configurations,antenna configuration(s)
defect group,defect groups,defect group(s)
bloom filter,bloom filters,bloom filter(s)
supplementary material,supplementary materials,supplementary material(s)
gas phase metallicity,gas phase metallicities,gas phase metallicity(ies)
global explanation,global explanations,global explanation(s)
potential barrier function,potential barrier functions,potential barrier function(s)
jordan block,jordan blocks,jordan block(s)
scale quantum technology,scale quantum technologies,scale quantum technology(ies)
image processing pipeline,image processing pipelines,image processing pipeline(s)
transit depth,transit depths,transit depth(s)
atomic arrangement,atomic arrangements,atomic arrangement(s)
rate schedule,rate schedules,rate schedule(s)
thin disc,thin discs,thin disc(s)
normalization constraint,normalization constraints,normalization constraint(s)
bergman space,bergman spaces,bergman space(s)
quot scheme,quot schemes,quot scheme(s)
prestellar core,prestellar cores,prestellar core(s)
differential privacy guarantee,differential privacy guarantees,differential privacy guarantee(s)
absorption edge,absorption edges,absorption edge(s)
amino acid sequence,amino acid sequences,amino acid sequence(s)
real projective space,real projective spaces,real projective space(s)
implied volatility,implied volatilities,implied volatility(ies)
hamming graph,hamming graphs,hamming graph(s)
frequency drift,frequency drifts,frequency drift(s)
crossbar array,crossbar arrays,crossbar array(s)
optimization routine,optimization routines,optimization routine(s)
einstein ring,einstein rings,einstein ring(s)
semi analytical solution,semi analytical solutions,semi analytical solution(s)
number density matrix,number density matrices,number density matrix (matrices)
treatment rule,treatment rules,treatment rule(s)
linear collider,linear colliders,linear collider(s)
high luminosity function,high luminosity functions,high luminosity function(s)
nonlinear schrodinger equation,nonlinear schrodinger equations,nonlinear schrodinger equation(s)
ricci flat spacetime,ricci flat spacetimes,ricci flat spacetime(s)
right handed neutrino mass,right handed neutrino masses,right handed neutrino mass(es)
incoming signal,incoming signals,incoming signal(s)
riemannian metric space,riemannian metric spaces,riemannian metric space(s)
path loss function,path loss functions,path loss function(s)
transfer torque,transfer torques,transfer torque(s)
maximum likelihood estimation procedure,maximum likelihood estimation procedures,maximum likelihood estimation procedure(s)
semiconductor microcavity,semiconductor microcavities,semiconductor microcavity(ies)
signal processing step,signal processing steps,signal processing step(s)
weibull distribution,weibull distributions,weibull distribution(s)
weighted bergman space,weighted bergman spaces,weighted bergman space(s)
exceptional lie algebra,exceptional lie algebras,exceptional lie algebra(s)
giant atom,giant atoms,giant atom(s)
discourse structure,discourse structures,discourse structure(s)
azimuthal asymmetry,azimuthal asymmetries,azimuthal asymmetry(ies)
entry point,entry points,entry point(s)
log normal distribution,log normal distributions,log normal distribution(s)
petersen graph,petersen graphs,petersen graph(s)
colored jones polynomial,colored jones polynomials,colored jones polynomial(s)
valuation ring,valuation rings,valuation ring(s)
massless graviton,massless gravitons,massless graviton(s)
pump beam,pump beams,pump beam(s)
high tc cuprate,high tc cuprates,high tc cuprate(s)
riesz basis,riesz bases,riesz basis (bases)
lock down,lock downs,lock down(s)
dynamic programming language,dynamic programming languages,dynamic programming language(s)
closure approximation,closure approximations,closure approximation(s)
dg scheme,dg schemes,dg scheme(s)
pumping rate,pumping rates,pumping rate(s)
graph embedding space,graph embedding spaces,graph embedding space(s)
penalized regression model,penalized regression models,penalized regression model(s)
total energy distribution,total energy distributions,total energy distribution(s)
riemann solver,riemann solvers,riemann solver(s)
ofdm system,ofdm systems,ofdm system(s)
rao bound,rao bounds,rao bound(s)
sound classification task,sound classification tasks,sound classification task(s)
thermodynamic equilibrium steady state,thermodynamic equilibrium steady states,thermodynamic equilibrium steady state(s)
kolmogorov length scale,kolmogorov length scales,kolmogorov length scale(s)
tilting module,tilting modules,tilting module(s)
non stationary point,non stationary points,non stationary point(s)
autonomous driving car,autonomous driving cars,autonomous driving car(s)
bloch wave,bloch waves,bloch wave(s)
machine learning interatomic potential,machine learning interatomic potentials,machine learning interatomic potential(s)
closed shell,closed shells,closed shell(s)
cathode material,cathode materials,cathode material(s)
afm ground state,afm ground states,afm ground state(s)
nas algorithm,nas algorithms,nas algorithm(s)
smooth nonconvex optimization problem,smooth nonconvex optimization problems,smooth nonconvex optimization problem(s)
strong indication,strong indications,strong indication(s)
choquard equation,choquard equations,choquard equation(s)
boolean lattice,boolean lattices,boolean lattice(s)
bayes estimator,bayes estimators,bayes estimator(s)
entropy loss function,entropy loss functions,entropy loss function(s)
two dimensional bose gas,two dimensional bose gases,two dimensional bose gas(es)
cm elliptic curve,cm elliptic curves,cm elliptic curve(s)
suboptimality gap,suboptimality gaps,suboptimality gap(s)
superconformal algebra,superconformal algebras,superconformal algebra(s)
ethereum smart contract,ethereum smart contracts,ethereum smart contract(s)
alternating projection,alternating projections,alternating projection(s)
uneven terrain,uneven terrains,uneven terrain(s)
amp algorithm,amp algorithms,amp algorithm(s)
streaming data set,streaming data sets,streaming data set(s)
convective instability,convective instabilities,convective instability(ies)
eccentricity distribution,eccentricity distributions,eccentricity distribution(s)
disparity map,disparity maps,disparity map(s)
smart home environment,smart home environments,smart home environment(s)
line drawing,line drawings,line drawing(s)
skeleton sequence,skeleton sequences,skeleton sequence(s)
moving mirror,moving mirrors,moving mirror(s)
edge deletion,edge deletions,edge deletion(s)
topological data set,topological data sets,topological data set(s)
parent body,parent bodies,parent body(ies)
faraday rotation measure,faraday rotation measures,faraday rotation measure(s)
background noise level,background noise levels,background noise level(s)
convective motion,convective motions,convective motion(s)
news headline,news headlines,news headline(s)
few shot learner,few shot learners,few shot learner(s)
near duplicate,near duplicates,near duplicate(s)
amorphous phase,amorphous phases,amorphous phase(s)
similarity metric space,similarity metric spaces,similarity metric space(s)
selmer group,selmer groups,selmer group(s)
quadrupedal robot,quadrupedal robots,quadrupedal robot(s)
diode laser,diode lasers,diode laser(s)
quasiperiodic potential,quasiperiodic potentials,quasiperiodic potential(s)
sanity check,sanity checks,sanity check(s)
standard model sm background,standard model sm backgrounds,standard model sm background(s)
aggregation rule,aggregation rules,aggregation rule(s)
spectral triple,spectral triples,spectral triple(s)
regularization mechanism,regularization mechanisms,regularization mechanism(s)
autoregressive transformer,autoregressive transformers,autoregressive transformer(s)
cram er rao bound,cram er rao bounds,cram er rao bound(s)
odds ratio,odds ratios,odds ratio(s)
diffusing particle,diffusing particles,diffusing particle(s)
word substitution,word substitutions,word substitution(s)
task scheduling problem,task scheduling problems,task scheduling problem(s)
symbolic regression model,symbolic regression models,symbolic regression model(s)
abelian gauge field theory,abelian gauge field theories,abelian gauge field theory(ies)
parametric oscillator,parametric oscillators,parametric oscillator(s)
coset space,coset spaces,coset space(s)
tidal force,tidal forces,tidal force(s)
art defense,art defenses,art defense(s)
multiplicity distribution,multiplicity distributions,multiplicity distribution(s)
accretion process,accretion processes,accretion process(es)
integer filling,integer fillings,integer filling(s)
technical innovation,technical innovations,technical innovation(s)
glove word embedding,glove word embeddings,glove word embedding(s)
assistive robotic,assistive robotics,assistive robotic(s)
trusted third party,trusted third parties,trusted third party(ies)
magneto hydrodynamic,magneto hydrodynamics,magneto hydrodynamic(s)
faint signal,faint signals,faint signal(s)
millimeter wave mmwave communication,millimeter wave mmwave communications,millimeter wave mmwave communication(s)
newton polytope,newton polytopes,newton polytope(s)
four point correlation function,four point correlation functions,four point correlation function(s)
tauri star,tauri stars,tauri star(s)
smart factory,smart factories,smart factory(ies)
keplerian orbit,keplerian orbits,keplerian orbit(s)
zenith angle,zenith angles,zenith angle(s)
chirped pulse,chirped pulses,chirped pulse(s)
massive scalar field,massive scalar fields,massive scalar field(s)
combinatorial argument,combinatorial arguments,combinatorial argument(s)
maxcut problem,maxcut problems,maxcut problem(s)
retrograde orbit,retrograde orbits,retrograde orbit(s)
dose distribution,dose distributions,dose distribution(s)
route choice,route choices,route choice(s)
real time window,real time windows,real time window(s)
decoherence mechanism,decoherence mechanisms,decoherence mechanism(s)
lidar scan,lidar scans,lidar scan(s)
component bose einstein condensate,component bose einstein condensates,component bose einstein condensate(s)
stratified fluid,stratified fluids,stratified fluid(s)
fair classification task,fair classification tasks,fair classification task(s)
vector autoregression,vector autoregressions,vector autoregression(s)
dirac neutrino,dirac neutrinos,dirac neutrino(s)
forward rapidity,forward rapidities,forward rapidity(ies)
rapid neutron star,rapid neutron stars,rapid neutron star(s)
acoustic scene,acoustic scenes,acoustic scene(s)
fixed point source,fixed point sources,fixed point source(s)
local authority,local authorities,local authority(ies)
kinetic monte carlo simulation,kinetic monte carlo simulations,kinetic monte carlo simulation(s)
angular momentum flux,angular momentum fluxes,angular momentum flux(es)
declarative language,declarative languages,declarative language(s)
dust ring,dust rings,dust ring(s)
elliptic pde,elliptic pdes,elliptic pde(s)
bolometric light curve,bolometric light curves,bolometric light curve(s)
operating principle,operating principles,operating principle(s)
auxiliary loss function,auxiliary loss functions,auxiliary loss function(s)
fr echet mean,fr echet means,fr echet mean(s)
complex banach space,complex banach spaces,complex banach space(s)
quaternion algebra,quaternion algebras,quaternion algebra(s)
standard candle,standard candles,standard candle(s)
lip movement,lip movements,lip movement(s)
gw observatory,gw observatories,gw observatory(ies)
graph convolution neural network,graph convolution neural networks,graph convolution neural network(s)
cardiac arrhythmia,cardiac arrhythmias,cardiac arrhythmia(s)
academic research area,academic research areas,academic research area(s)
substellar companion,substellar companions,substellar companion(s)
bug fix,bug fixes,bug fix(es)
critically affect,critically affects,critically affect(s)
von neumann architecture,von neumann architectures,von neumann architecture(s)
non singular point,non singular points,non singular point(s)
shape memory alloy,shape memory alloys,shape memory alloy(s)
class imbalanced dataset,class imbalanced datasets,class imbalanced dataset(s)
twisted boundary condition,twisted boundary conditions,twisted boundary condition(s)
host galaxy cluster,host galaxy clusters,host galaxy cluster(s)
bent function,bent functions,bent function(s)
missing modality,missing modalities,missing modality(ies)
homomorphic encryption scheme,homomorphic encryption schemes,homomorphic encryption scheme(s)
perpendicular shock,perpendicular shocks,perpendicular shock(s)
complex road network,complex road networks,complex road network(s)
zygmund operator,zygmund operators,zygmund operator(s)
computing facility,computing facilities,computing facility(ies)
corrective action,corrective actions,corrective action(s)
complex projective space,complex projective spaces,complex projective space(s)
radial excitation,radial excitations,radial excitation(s)
feature descriptor,feature descriptors,feature descriptor(s)
production site,production sites,production site(s)
lagrangian fibration,lagrangian fibrations,lagrangian fibration(s)
dna strand,dna strands,dna strand(s)
spin-2 field,spin-2 fields,spin-2 field(s)
prediction error rate,prediction error rates,prediction error rate(s)
self adjoint extension,self adjoint extensions,self adjoint extension(s)
primitive permutation group,primitive permutation groups,primitive permutation group(s)
motion primitive,motion primitives,motion primitive(s)
enriques surface,enriques surfaces,enriques surface(s)
quark condensate,quark condensates,quark condensate(s)
density parity check ldpc code,density parity check ldpc codes,density parity check ldpc code(s)
monocular rgb image,monocular rgb images,monocular rgb image(s)
coarse moduli space,coarse moduli spaces,coarse moduli space(s)
live cell,live cells,live cell(s)
tighter lower bound,tighter lower bounds,tighter lower bound(s)
algebraically closed form,algebraically closed forms,algebraically closed form(s)
terrestrial base station,terrestrial base stations,terrestrial base station(s)
steep slope,steep slopes,steep slope(s)
mini neptune,mini neptunes,mini neptune(s)
pseudo goldstone boson,pseudo goldstone bosons,pseudo goldstone boson(s)
nodal domain,nodal domains,nodal domain(s)
delayed response,delayed responses,delayed response(s)
frequency band gap,frequency band gaps,frequency band gap(s)
naturally accommodate,naturally accommodates,naturally accommodate(s)
centrifugal force,centrifugal forces,centrifugal force(s)
atmospheric circulation,atmospheric circulations,atmospheric circulation(s)
chiral effective hamiltonian,chiral effective hamiltonians,chiral effective hamiltonian(s)
disk graph,disk graphs,disk graph(s)
mpc protocol,mpc protocols,mpc protocol(s)
routing scheme,routing schemes,routing scheme(s)
horizontal velocity,horizontal velocities,horizontal velocity(ies)
polygonal domain,polygonal domains,polygonal domain(s)
task oriented dialog system,task oriented dialog systems,task oriented dialog system(s)
domain qa system,domain qa systems,domain qa system(s)
quantum simulator,quantum simulators,quantum simulator(s)
rayleigh wave,rayleigh waves,rayleigh wave(s)
linear programming relaxation,linear programming relaxations,linear programming relaxation(s)
dense depth map,dense depth maps,dense depth map(s)
similarity computation,similarity computations,similarity computation(s)
bounded degree sequence,bounded degree sequences,bounded degree sequence(s)
weighted l2 norm,weighted l2 norms,weighted l2 norm(s)
first betti number,first betti numbers,first betti number(s)
nv center,nv centers,nv center(s)
stellar mass ejection,stellar mass ejections,stellar mass ejection(s)
debris disc,debris discs,debris disc(s)
random graph neural network,random graph neural networks,random graph neural network(s)
base change point,base change points,base change point(s)
individual grain,individual grains,individual grain(s)
fermi pocket,fermi pockets,fermi pocket(s)
frontier field,frontier fields,frontier field(s)
file size,file sizes,file size(s)
sequence length scale,sequence length scales,sequence length scale(s)
magnitude speedup,magnitude speedups,magnitude speedup(s)
cross check,cross checks,cross check(s)
false positive rate,false positive rates,false positive rate(s)
matrix pencil,matrix pencils,matrix pencil(s)
translation invariant measure,translation invariant measures,translation invariant measure(s)
recombination line,recombination lines,recombination line(s)
medical records ehr,medical records ehrs,medical records ehr(s)
higher multipole,higher multipoles,higher multipole(s)
electroweak phase transition,electroweak phase transitions,electroweak phase transition(s)
fiber link,fiber links,fiber link(s)
extragalactic transient,extragalactic transients,extragalactic transient(s)
laughlin state,laughlin states,laughlin state(s)
microring resonator,microring resonators,microring resonator(s)
tunnel barrier,tunnel barriers,tunnel barrier(s)
treatment arm,treatment arms,treatment arm(s)
minkowski sum,minkowski sums,minkowski sum(s)
airy function,airy functions,airy function(s)
short time delay,short time delays,short time delay(s)
vy process,vy processes,vy process(es)
transcription factor,transcription factors,transcription factor(s)
head mounted displays hmd,head mounted displays hmds,head mounted displays hmd(s)
tangent vector,tangent vectors,tangent vector(s)
dynamo model,dynamo models,dynamo model(s)
li abundance,li abundances,li abundance(s)
conditional probability measure,conditional probability measures,conditional probability measure(s)
tensor product state,tensor product states,tensor product state(s)
commercial building,commercial buildings,commercial building(s)
feedforward neural network architecture,feedforward neural network architectures,feedforward neural network architecture(s)
arrival time delay,arrival time delays,arrival time delay(s)
sine wave,sine waves,sine wave(s)
sofic group,sofic groups,sofic group(s)
qr code,qr codes,qr code(s)
mittag leffler function,mittag leffler functions,mittag leffler function(s)
superheavy element,superheavy elements,superheavy element(s)
blue shift,blue shifts,blue shift(s)
main contributor,main contributors,main contributor(s)
superconducting wire,superconducting wires,superconducting wire(s)
hydrophobic surface,hydrophobic surfaces,hydrophobic surface(s)
elastic collision,elastic collisions,elastic collision(s)
seriously affect,seriously affects,seriously affect(s)
polynomial time interval,polynomial time intervals,polynomial time interval(s)
doped mott insulator,doped mott insulators,doped mott insulator(s)
highest redshift,highest redshifts,highest redshift(s)
unlabeled data set,unlabeled data sets,unlabeled data set(s)
models glm,models glms,models glm(s)
linear quadratic regulator,linear quadratic regulators,linear quadratic regulator(s)
quasi geostrophic equation,quasi geostrophic equations,quasi geostrophic equation(s)
low wavenumber,low wavenumbers,low wavenumber(s)
structural modification,structural modifications,structural modification(s)
transitive permutation group,transitive permutation groups,transitive permutation group(s)
triangle group,triangle groups,triangle group(s)
equilibrium position,equilibrium positions,equilibrium position(s)
fibre bundle,fibre bundles,fibre bundle(s)
organic framework,organic frameworks,organic framework(s)
berry esseen bound,berry esseen bounds,berry esseen bound(s)
personal computer,personal computers,personal computer(s)
state transducer,state transducers,state transducer(s)
phase slip,phase slips,phase slip(s)
residual symmetry,residual symmetries,residual symmetry(ies)
heat treatment,heat treatments,heat treatment(s)
association rule,association rules,association rule(s)
generalized riemann surface,generalized riemann surfaces,generalized riemann surface(s)
elastic scattering process,elastic scattering processes,elastic scattering process(es)
straight line drawing,straight line drawings,straight line drawing(s)
gaussian noise level,gaussian noise levels,gaussian noise level(s)
optimal control law,optimal control laws,optimal control law(s)
reasonable estimate,reasonable estimates,reasonable estimate(s)
referring expression,referring expressions,referring expression(s)
unexplored region,unexplored regions,unexplored region(s)
abstract cauchy problem,abstract cauchy problems,abstract cauchy problem(s)
non orientable surface,non orientable surfaces,non orientable surface(s)
compact riemannian metric,compact riemannian metrics,compact riemannian metric(s)
electron bunch,electron bunches,electron bunch(es)
hash code,hash codes,hash code(s)
packet size,packet sizes,packet size(s)
density wave function,density wave functions,density wave function(s)
rectangular region,rectangular regions,rectangular region(s)
theoretical motivation,theoretical motivations,theoretical motivation(s)
magnetic monopole,magnetic monopoles,magnetic monopole(s)
semi analytic solution,semi analytic solutions,semi analytic solution(s)
random alloy,random alloys,random alloy(s)
backward pass,backward passes,backward pass(es)
smallness condition,smallness conditions,smallness condition(s)
three public dataset,three public datasets,three public dataset(s)
outer bound,outer bounds,outer bound(s)
conditional quantile,conditional quantiles,conditional quantile(s)
taylor series expansion,taylor series expansions,taylor series expansion(s)
normal tissue,normal tissues,normal tissue(s)
constraining power spectrum,constraining power spectra,constraining power spectrum (spectra)
eel vector,eel vectors,eel vector(s)
superstring theory,superstring theories,superstring theory(ies)
lorentz boost,lorentz boosts,lorentz boost(s)
melting point,melting points,melting point(s)
delocalization transition,delocalization transitions,delocalization transition(s)
large alphabet,large alphabets,large alphabet(s)
spin-1 chain,spin-1 chains,spin-1 chain(s)
triple junction,triple junctions,triple junction(s)
environmental science,environmental sciences,environmental science(s)
blue straggler,blue stragglers,blue straggler(s)
ferromagnetic semiconductor,ferromagnetic semiconductors,ferromagnetic semiconductor(s)
beta decay rate,beta decay rates,beta decay rate(s)
perturbative treatment,perturbative treatments,perturbative treatment(s)
orthorhombic phase transition,orthorhombic phase transitions,orthorhombic phase transition(s)
vortex sheet,vortex sheets,vortex sheet(s)
dram access,dram accesses,dram access(es)
strange star,strange stars,strange star(s)
mid latitude,mid latitudes,mid latitude(s)
cavity mode volume,cavity mode volumes,cavity mode volume(s)
sample selection bias,sample selection biases,sample selection bias(es)
electron recoil,electron recoils,electron recoil(s)
pseudo euclidean space,pseudo euclidean spaces,pseudo euclidean space(s)
morse potential,morse potentials,morse potential(s)
lennard jones fluid,lennard jones fluids,lennard jones fluid(s)
pitchfork bifurcation,pitchfork bifurcations,pitchfork bifurcation(s)
cartan subalgebra,cartan subalgebras,cartan subalgebra(s)
inverse seesaw model,inverse seesaw models,inverse seesaw model(s)
redundant computation,redundant computations,redundant computation(s)
experimental evaluation metric,experimental evaluation metrics,experimental evaluation metric(s)
fusion reactor,fusion reactors,fusion reactor(s)
star formation channel,star formation channels,star formation channel(s)
toric degeneration,toric degenerations,toric degeneration(s)
orthogonality condition,orthogonality conditions,orthogonality condition(s)
closed orientable surface,closed orientable surfaces,closed orientable surface(s)
distributive law,distributive laws,distributive law(s)
2d ising model,2d ising models,2d ising model(s)
simultaneous wireless communication,simultaneous wireless communications,simultaneous wireless communication(s)
scene description,scene descriptions,scene description(s)
ii superconductor,ii superconductors,ii superconductor(s)
axis ratio,axis ratios,axis ratio(s)
flip flop,flip flops,flip flop(s)
penetration rate,penetration rates,penetration rate(s)
sky area,sky areas,sky area(s)
rank tensor product,rank tensor products,rank tensor product(s)
new venue,new venues,new venue(s)
couette flow,couette flows,couette flow(s)
special attention mechanism,special attention mechanisms,special attention mechanism(s)
large eddy simulation,large eddy simulations,large eddy simulation(s)
wiretap channel,wiretap channels,wiretap channel(s)
egocentric view,egocentric views,egocentric view(s)
black brane,black branes,black brane(s)
bessel beam,bessel beams,bessel beam(s)
patch embedding,patch embeddings,patch embedding(s)
reaction coordinate,reaction coordinates,reaction coordinate(s)
board computer,board computers,board computer(s)
careful choice,careful choices,careful choice(s)
indirect band structure,indirect band structures,indirect band structure(s)
skyrmion lattice,skyrmion lattices,skyrmion lattice(s)
gated recurrent neural network,gated recurrent neural networks,gated recurrent neural network(s)
higher spin current,higher spin currents,higher spin current(s)
skew brace,skew braces,skew brace(s)
short packet,short packets,short packet(s)
ferroelectric domain,ferroelectric domains,ferroelectric domain(s)
fisher market,fisher markets,fisher market(s)
urn model,urn models,urn model(s)
swarm optimization problem,swarm optimization problems,swarm optimization problem(s)
propulsion system,propulsion systems,propulsion system(s)
handwritten digit,handwritten digits,handwritten digit(s)
provably converge,provably converges,provably converge(s)
alpha matte,alpha mattes,alpha matte(s)
thick disk,thick disks,thick disk(s)
spacelike hypersurface,spacelike hypersurfaces,spacelike hypersurface(s)
transverse momentum distribution function,transverse momentum distribution functions,transverse momentum distribution function(s)
sandpile model,sandpile models,sandpile model(s)
exclusion process,exclusion processes,exclusion process(es)
infinite series expansion,infinite series expansions,infinite series expansion(s)
blurred image,blurred images,blurred image(s)
number density profile,number density profiles,number density profile(s)
random walker,random walkers,random walker(s)
informed choice,informed choices,informed choice(s)
critic algorithm,critic algorithms,critic algorithm(s)
majorization minimization problem,majorization minimization problems,majorization minimization problem(s)
listening test,listening tests,listening test(s)
adversarial networks cgan,adversarial networks cgans,adversarial networks cgan(s)
adaptive optics ao system,adaptive optics ao systems,adaptive optics ao system(s)
final decision,final decisions,final decision(s)
gravitationally lensed quasar,gravitationally lensed quasars,gravitationally lensed quasar(s)
dnn accelerator,dnn accelerators,dnn accelerator(s)
ring polymer,ring polymers,ring polymer(s)
metal hydride,metal hydrides,metal hydride(s)
privacy breach,privacy breaches,privacy breach(es)
oiii emission line,oiii emission lines,oiii emission line(s)
flrw spacetime,flrw spacetimes,flrw spacetime(s)
pseudoconvex domain,pseudoconvex domains,pseudoconvex domain(s)
auxiliary qubit,auxiliary qubits,auxiliary qubit(s)
co isotopologue,co isotopologues,co isotopologue(s)
hash value,hash values,hash value(s)
killing tensor,killing tensors,killing tensor(s)
error probability distribution,error probability distributions,error probability distribution(s)
su yang mills theory,su yang mills theories,su yang mills theory(ies)
pentaquark state,pentaquark states,pentaquark state(s)
error bar,error bars,error bar(s)
wikipedia page,wikipedia pages,wikipedia page(s)
queuing system,queuing systems,queuing system(s)
potential avenue,potential avenues,potential avenue(s)
complex monge amp ere equation,complex monge amp ere equations,complex monge amp ere equation(s)
matroid constraint,matroid constraints,matroid constraint(s)
dirichlet character,dirichlet characters,dirichlet character(s)
multipartite graph,multipartite graphs,multipartite graph(s)
interstellar object,interstellar objects,interstellar object(s)
tight correlation,tight correlations,tight correlation(s)
lefschetz thimble,lefschetz thimbles,lefschetz thimble(s)
giant pulse,giant pulses,giant pulse(s)
quantum error correcting code,quantum error correcting codes,quantum error correcting code(s)
preprojective algebra,preprojective algebras,preprojective algebra(s)
scalar mediator,scalar mediators,scalar mediator(s)
overparametrized neural network,overparametrized neural networks,overparametrized neural network(s)
finite cw complex,finite cw complexes,finite cw complex(es)
counting rule,counting rules,counting rule(s)
critical besov space,critical besov spaces,critical besov space(s)
high entropy alloy,high entropy alloys,high entropy alloy(s)
induced copy,induced copies,induced copy(ies)
isometric immersion,isometric immersions,isometric immersion(s)
baryonic component,baryonic components,baryonic component(s)
crime rate,crime rates,crime rate(s)
meteor shower,meteor showers,meteor shower(s)
cell culture,cell cultures,cell culture(s)
insulating phase transition,insulating phase transitions,insulating phase transition(s)
lottery ticket,lottery tickets,lottery ticket(s)
galois covering,galois coverings,galois covering(s)
dram chip,dram chips,dram chip(s)
dipole antenna,dipole antennas,dipole antenna(s)
cuo plane,cuo planes,cuo plane(s)
schrodinger operator,schrodinger operators,schrodinger operator(s)
second moment condition,second moment conditions,second moment condition(s)
proprietary dataset,proprietary datasets,proprietary dataset(s)
marked difference,marked differences,marked difference(s)
fiducial marker,fiducial markers,fiducial marker(s)
driving style,driving styles,driving style(s)
second price auction,second price auctions,second price auction(s)
anomalous diffusion process,anomalous diffusion processes,anomalous diffusion process(es)
model compression scheme,model compression schemes,model compression scheme(s)
simple greedy algorithm,simple greedy algorithms,simple greedy algorithm(s)
cosmic ray flux,cosmic ray fluxes,cosmic ray flux(es)
nonholonomic constraint,nonholonomic constraints,nonholonomic constraint(s)
conv layer,conv layers,conv layer(s)
jaynes cummings model,jaynes cummings models,jaynes cummings model(s)
backscatter communication,backscatter communications,backscatter communication(s)
solar system size,solar system sizes,solar system size(s)
billion dollar,billion dollars,billion dollar(s)
electron density wave,electron density waves,electron density wave(s)
organic photovoltaic,organic photovoltaics,organic photovoltaic(s)
graphic matroid,graphic matroids,graphic matroid(s)
mixed integer programming formulation,mixed integer programming formulations,mixed integer programming formulation(s)
ion channel,ion channels,ion channel(s)
cnn accelerator,cnn accelerators,cnn accelerator(s)
optimal hyper parameter,optimal hyper parameters,optimal hyper parameter(s)
street scene,street scenes,street scene(s)
quadruple system,quadruple systems,quadruple system(s)
laser cooling scheme,laser cooling schemes,laser cooling scheme(s)
zero divisor,zero divisors,zero divisor(s)
episodic markov decision process,episodic markov decision processes,episodic markov decision process(es)
hnn extension,hnn extensions,hnn extension(s)
external load,external loads,external load(s)
count data set,count data sets,count data set(s)
lab environment,lab environments,lab environment(s)
polygonal mesh,polygonal meshes,polygonal mesh(es)
equatorial orbit,equatorial orbits,equatorial orbit(s)
quasar host galaxy,quasar host galaxies,quasar host galaxy(ies)
fmcw radar,fmcw radars,fmcw radar(s)
primitive ideal,primitive ideals,primitive ideal(s)
line arrangement,line arrangements,line arrangement(s)
affine hecke algebra,affine hecke algebras,affine hecke algebra(s)
spatio temporal variation,spatio temporal variations,spatio temporal variation(s)
time domain shift,time domain shifts,time domain shift(s)
massive star merger,massive star mergers,massive star merger(s)
polymer matrix,polymer matrices,polymer matrix (matrices)
energy transfer function,energy transfer functions,energy transfer function(s)
expected profit,expected profits,expected profit(s)
two terminal device,two terminal devices,two terminal device(s)
subharmonic function,subharmonic functions,subharmonic function(s)
physiological measurement,physiological measurements,physiological measurement(s)
slip length,slip lengths,slip length(s)
covariance operator,covariance operators,covariance operator(s)
integer programming formulation,integer programming formulations,integer programming formulation(s)
average power spectrum,average power spectra,average power spectrum (spectra)
gene tree,gene trees,gene tree(s)
signal processing pipeline,signal processing pipelines,signal processing pipeline(s)
nonsmooth convex optimization problem,nonsmooth convex optimization problems,nonsmooth convex optimization problem(s)
singular fiber,singular fibers,singular fiber(s)
regression discontinuity design,regression discontinuity designs,regression discontinuity design(s)
personal data set,personal data sets,personal data set(s)
quotient stack,quotient stacks,quotient stack(s)
cancellation condition,cancellation conditions,cancellation condition(s)
grating spectrometer,grating spectrometers,grating spectrometer(s)
universal turing machine,universal turing machines,universal turing machine(s)
factorial design,factorial designs,factorial design(s)
data augmentation scheme,data augmentation schemes,data augmentation scheme(s)
cluster head,cluster heads,cluster head(s)
active nematic,active nematics,active nematic(s)
file format,file formats,file format(s)
unit disk graph,unit disk graphs,unit disk graph(s)
bouncing cosmology,bouncing cosmologies,bouncing cosmology(ies)
maximal parabolic subgroup,maximal parabolic subgroups,maximal parabolic subgroup(s)
map estimator,map estimators,map estimator(s)
distillation protocol,distillation protocols,distillation protocol(s)
mass matrix element,mass matrix elements,mass matrix element(s)
multinomial distribution,multinomial distributions,multinomial distribution(s)
deterministic counterpart,deterministic counterparts,deterministic counterpart(s)
energy dissipation rate,energy dissipation rates,energy dissipation rate(s)
vortical flow,vortical flows,vortical flow(s)
lqr problem,lqr problems,lqr problem(s)
image reconstruction error,image reconstruction errors,image reconstruction error(s)
multi robot team,multi robot teams,multi robot team(s)
toroidal compactification,toroidal compactifications,toroidal compactification(s)
polish space,polish spaces,polish space(s)
strongly suppress,strongly suppresses,strongly suppress(es)
loud quasar,loud quasars,loud quasar(s)
channel coding scheme,channel coding schemes,channel coding scheme(s)
topological charge density,topological charge densities,topological charge density(ies)
talking face,talking faces,talking face(s)
slam algorithm,slam algorithms,slam algorithm(s)
initialization procedure,initialization procedures,initialization procedure(s)
defect concentration,defect concentrations,defect concentration(s)
reflectance spectrum,reflectance spectra,reflectance spectrum (spectra)
view clustering algorithm,view clustering algorithms,view clustering algorithm(s)
outer radius,outer radii,outer radius (radii)
